name,neighborhood,avg_rating,#_of_ratings,avg_cost,avg_cost_2,cash_cards?,variable,value
Geladaria Freddo,Corroios,3.6,27,8 € for two people (approx.),8,Cash and Cards accepted,cuisine1,Ice Cream
Restaurante Baía,Cascais Centro,3.8,24,50 € for two people (approx.),50,Debit Cards accepted,cuisine1,Portuguese
Menos Um,Venteira,2.9,66,20 € for two people (approx.),20,Debit Cards accepted,cuisine1,Burger
Real Cake,Loures Centro,2.8,61,15 € for two people (approx.),15,Debit Cards accepted,cuisine1,Finger Food
Bolos Caseiros,Penha de França,3.5,7,15 € for two people (approx.),15,Cash only,cuisine1,Finger Food
Taberna Albricoque,Santa Apolónia,4.0,53,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Portuguese
Snack-Bar Zodíaco,Santa Iria da Azóia,-,2,8 € for two people (approx.),8,Cash only,cuisine1,Finger Food
Mel e Malagueta,Parque das Nações,3.4,22,15 € for two people (approx.),15,Cash and Cards accepted,cuisine1,Cafe
Ó Conde,Lumiar,3.9,82,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Portuguese
Pastelaria Plaza,Odivelas Centro,3.2,5,12 € for two people (approx.),12,Debit Cards accepted,cuisine1,Cafe
Os Rebelos,Bobadela,-,2,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Tasca do Careca,Saldanha,2.8,124,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Portuguese
Miami,Setubal Centro,3.8,17,30 € for two people (approx.),30,Cash only,cuisine1,Portuguese
Centenarivm,Rato,4.1,68,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,African
Atelier du Caffé,Pinhal Novo,3.8,19,10 € for two people (approx.),10,Cash only,cuisine1,Cafe
Anjo Doce,Anjos,3.4,2,20 € for two people (approx.),20,Cash only,cuisine1,Cafe
Tasquinha dos Ramos,Feijó,4.1,134,30 € for two people (approx.),30,Cash and Credit Cards accepted,cuisine1,Portuguese
Cantina do Mercado,Entrecampos,3.3,3,20 € for two people (approx.),20,Cash only,cuisine1,Portuguese
New Moment,São Bento,3.7,17,8 € for two people (approx.),8,Cash and Cards accepted,cuisine1,Desserts
Gelatommy,Bairro Alto,3.5,15,6 € for two people (approx.),6,Cash only,cuisine1,Ice Cream
Fábrica Musa,Marvila,4.2,231,15 € for two people (approx.) with alcohol,15,Cash and Debit Cards accepted,cuisine1,Beverages
O Saboroso,Marquês de Pombal,3.4,13,30 € for two people (approx.),30,Cash only,cuisine1,Portuguese
Ambrosius,Barreiro Centro,4.1,177,20 € for two people (approx.),20,Cash only,cuisine1,Grill
Mwana Pwo,Parque das Nações,4.1,92,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Angolan
Quick Asia,Marquês de Pombal,4.2,161,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Thai
Meio Pizza Meio Grill,Parque das Nações,2.6,131,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Pizza
Cantinho do Cozinheiro,Mem Martins,3.5,11,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Portuguese
Hikidashi - Taberna Japonesa,Campo de Ourique,4.7,713,80 € for two people (approx.),80,Cash and Debit Cards accepted,cuisine1,Sushi
Windsurf,Linda-a-Velha,-,1,5 € for two people (approx.),5,Cash only,cuisine1,Finger Food
Mesa de Frades,Alfama,4.0,63,120 € for two people (approx.),120,Cash only,cuisine1,Portuguese
Arabian Nights Shisha Bar,Cascais Centro,3.5,13,20 € for two people (approx.) with alcohol,20,Cash and Debit Cards accepted,cuisine1,Arabian
Ali Baba Kebab Haus,Algés,-,3,12 € for two people (approx.),12,Cash only,cuisine1,Kebab
Dois e Dois,Alcântara,3.7,32,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Portuguese
O Rei dos Frangos dos Olivais Sul,Olivais,3.6,13,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,BBQ
Cantinho de São Marcos,São Marcos,3.4,7,16 € for two people (approx.),16,Cash and Debit Cards accepted,cuisine1,Portuguese
Areias da Telha,Costa da Caparica,2.7,31,25 € for two people (approx.) with alcohol,25,Cards only,cuisine1,Finger Food
O Braseiro,Barreiro Centro,3.9,73,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Portuguese
O Aduaneiro,Beato,3.0,0,8 € for two people (approx.),8,Cash only,cuisine1,Finger Food
Café Negrito,Alcabideche,3.1,3,5 € for two people (approx.),5,Cash only,cuisine1,Finger Food
O Peralta,Cacilhas,2.0,76,35 € for two people (approx.),35,Cash and Cards accepted,cuisine1,Portuguese
A Lota,Rossio,2.7,13,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Portuguese
Maianga,Beato,3.2,2,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Preguinho da Villa,Cascais Centro,-,3,20 € for two people (approx.),20,Cash and Credit Cards accepted,cuisine1,Portuguese
Cookies Bakery,São Domingos de Benfica,4.3,112,6 € for two people (approx.),6,Cash and Cards accepted,cuisine1,Desserts
Bom Dia,Damaia,-,0,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Honorato Sushi,Restelo,3.9,527,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Sushi
Minabela,Mina,-,0,8 € for two people (approx.),8,Cash only,cuisine1,Finger Food
Sé da Guarda,Algés,4.1,106,30 € for two people (approx.),30,Cash only,cuisine1,Petiscos
Inasal Filipinas,Santa Apolónia,-,1,20 € for two people (approx.),20,Cash only,cuisine1,Portuguese
Atelier do Café,Cacém,3.2,3,8 € for two people (approx.),8,Cash and Debit Cards accepted,cuisine1,Cafe
Tazza in Giro,Graça,3.7,18,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Vegetarian
Arca de Mel,Paço de Arcos,-,1,10 € for two people (approx.),10,Cash only,cuisine1,Finger Food
Côco Verde,Damaia,3.6,14,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Britus Café,Ajuda,3.5,6,8 € for two people (approx.),8,Cash and Debit Cards accepted,cuisine1,Cafe
Templários,São Domingos de Benfica,2.5,51,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Portuguese
O Furão,Restelo,3.6,24,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Portuguese
Tentação,Restelo,3.3,5,10 € for two people (approx.),10,Cash only,cuisine1,Finger Food
O Moinho Verde,Colares,3.1,0,6 € for two people (approx.),6,Cash and Debit Cards accepted,cuisine1,Cafe
O Forno da Calçada,Campo Grande,2.6,15,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Cafe
Meco Bistrô,Aldeia do Meco,-,2,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Portuguese
Os Sagrados,Malveira,3.5,9,20 € for two people (approx.),20,Cash only,cuisine1,Portuguese
Dom Churrasco,Telheiras,3.8,38,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,BBQ
A Caprichosa,Pena,3.1,4,8 € for two people (approx.),8,Cash only,cuisine1,Finger Food
Churrasqueira Pronto a comer Margarete,Quinta do Anjo,3.4,7,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Portuguese
O Mercado do Peixe,Ajuda,4.0,107,50 € for two people (approx.),50,Cash and Cards accepted,cuisine1,Portuguese
Kikusushi,Baixa,3.8,324,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Japanese
O Tachadas,Brandoa,3.4,12,20 € for two people (approx.),20,Cash only,cuisine1,Portuguese
Scala II,Benfica,3.5,11,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Cafe
João do Grão,Baixa,3.6,78,35 € for two people (approx.),35,Cash and Cards accepted,cuisine1,Portuguese
Rotunda da Atalaia,Atalaia,-,1,25 € for two people (approx.),25,Cash only,cuisine1,Portuguese
Bom Churrasco,Massamá,3.4,6,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,BBQ
Eric Kayser - Amoreiras Plaza,Amoreiras,4.1,362,15 € for two people (approx.),15,Cash and Cards accepted,cuisine1,Bakery
Hebe Gyros,Brandoa,3.6,44,12 € for two people (approx.),12,Cash and Debit Cards accepted,cuisine1,Kebab
Oliveira's,Praça de Espanha,4.1,156,35 € for two people (approx.),35,Cards only,cuisine1,Mozambican
Marisqueira O David,Alcântara,3.7,33,35 € for two people (approx.),35,Cash and Cards accepted,cuisine1,Seafood
