name,neighborhood,avg_rating,#_of_ratings,avg_cost,cash_cards?,avg_cost_2
Geladaria Freddo,Corroios,3.6,27,8 € for two people (approx.),Cash and Cards accepted,8
Restaurante Baía,Cascais Centro,3.8,24,50 € for two people (approx.),Debit Cards accepted,50
Menos Um,Venteira,2.9,66,20 € for two people (approx.),Debit Cards accepted,20
Real Cake,Loures Centro,2.8,61,15 € for two people (approx.),Debit Cards accepted,15
Bolos Caseiros,Penha de França,3.5,7,15 € for two people (approx.),Cash only,15
Taberna Albricoque,Santa Apolónia,4.0,53,40 € for two people (approx.),Cash and Cards accepted,40
Snack-Bar Zodíaco,Santa Iria da Azóia,-,2,8 € for two people (approx.),Cash only,8
Mel e Malagueta,Parque das Nações,3.4,22,15 € for two people (approx.),Cash and Cards accepted,15
Ó Conde,Lumiar,3.9,82,40 € for two people (approx.),Cash and Cards accepted,40
Pastelaria Plaza,Odivelas Centro,3.2,5,12 € for two people (approx.),Debit Cards accepted,12
Os Rebelos,Bobadela,-,2,8 € for two people (approx.),Cash only,8
Tasca do Careca,Saldanha,2.8,124,25 € for two people (approx.),Cash and Cards accepted,25
Miami,Setubal Centro,3.8,17,30 € for two people (approx.),Cash only,30
Centenarivm,Rato,4.1,68,25 € for two people (approx.),Cash and Debit Cards accepted,25
Atelier du Caffé,Pinhal Novo,3.8,19,10 € for two people (approx.),Cash only,10
Anjo Doce,Anjos,3.4,2,20 € for two people (approx.),Cash only,20
Tasquinha dos Ramos,Feijó,4.1,134,30 € for two people (approx.),Cash and Credit Cards accepted,30
Cantina do Mercado,Entrecampos,3.3,3,20 € for two people (approx.),Cash only,20
New Moment,São Bento,3.7,17,8 € for two people (approx.),Cash and Cards accepted,8
Gelatommy,Bairro Alto,3.5,15,6 € for two people (approx.),Cash only,6
Fábrica Musa,Marvila,4.2,231,15 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,15
O Saboroso,Marquês de Pombal,3.4,13,30 € for two people (approx.),Cash only,30
Ambrosius,Barreiro Centro,4.1,177,20 € for two people (approx.),Cash only,20
Mwana Pwo,Parque das Nações,4.1,92,30 € for two people (approx.),Cash and Cards accepted,30
Quick Asia,Marquês de Pombal,4.2,161,25 € for two people (approx.),Cash and Cards accepted,25
Meio Pizza Meio Grill,Parque das Nações,2.6,131,20 € for two people (approx.),Cash and Cards accepted,20
Cantinho do Cozinheiro,Mem Martins,3.5,11,20 € for two people (approx.),Cash and Debit Cards accepted,20
Hikidashi - Taberna Japonesa,Campo de Ourique,4.7,713,80 € for two people (approx.),Cash and Debit Cards accepted,80
Windsurf,Linda-a-Velha,-,1,5 € for two people (approx.),Cash only,5
Mesa de Frades,Alfama,4.0,63,120 € for two people (approx.),Cash only,120
Arabian Nights Shisha Bar,Cascais Centro,3.5,13,20 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,20
Ali Baba Kebab Haus,Algés,-,3,12 € for two people (approx.),Cash only,12
Dois e Dois,Alcântara,3.7,32,30 € for two people (approx.),Cash and Debit Cards accepted,30
O Rei dos Frangos dos Olivais Sul,Olivais,3.6,13,15 € for two people (approx.),Cash and Debit Cards accepted,15
Cantinho de São Marcos,São Marcos,3.4,7,16 € for two people (approx.),Cash and Debit Cards accepted,16
Areias da Telha,Costa da Caparica,2.7,31,25 € for two people (approx.) with alcohol,Cards only,25
O Braseiro,Barreiro Centro,3.9,73,20 € for two people (approx.),Cash and Debit Cards accepted,20
O Aduaneiro,Beato,3.0,0,8 € for two people (approx.),Cash only,8
Café Negrito,Alcabideche,3.1,3,5 € for two people (approx.),Cash only,5
O Peralta,Cacilhas,2.0,76,35 € for two people (approx.),Cash and Cards accepted,35
A Lota,Rossio,2.7,13,25 € for two people (approx.),Cash and Cards accepted,25
Maianga,Beato,3.2,2,8 € for two people (approx.),Cash only,8
Preguinho da Villa,Cascais Centro,-,3,20 € for two people (approx.),Cash and Credit Cards accepted,20
Cookies Bakery,São Domingos de Benfica,4.3,112,6 € for two people (approx.),Cash and Cards accepted,6
Bom Dia,Damaia,-,0,8 € for two people (approx.),Cash only,8
Honorato Sushi,Restelo,3.9,527,40 € for two people (approx.),Cash and Cards accepted,40
Minabela,Mina,-,0,8 € for two people (approx.),Cash only,8
Sé da Guarda,Algés,4.1,106,30 € for two people (approx.),Cash only,30
Inasal Filipinas,Santa Apolónia,-,1,20 € for two people (approx.),Cash only,20
Atelier do Café,Cacém,3.2,3,8 € for two people (approx.),Cash and Debit Cards accepted,8
Tazza in Giro,Graça,3.7,18,25 € for two people (approx.),Cash and Cards accepted,25
Arca de Mel,Paço de Arcos,-,1,10 € for two people (approx.),Cash only,10
Côco Verde,Damaia,3.6,14,8 € for two people (approx.),Cash only,8
Britus Café,Ajuda,3.5,6,8 € for two people (approx.),Cash and Debit Cards accepted,8
Templários,São Domingos de Benfica,2.5,51,20 € for two people (approx.),Cash and Cards accepted,20
O Furão,Restelo,3.6,24,30 € for two people (approx.),Cash and Cards accepted,30
Tentação,Restelo,3.3,5,10 € for two people (approx.),Cash only,10
O Moinho Verde,Colares,3.1,0,6 € for two people (approx.),Cash and Debit Cards accepted,6
O Forno da Calçada,Campo Grande,2.6,15,25 € for two people (approx.),Cash and Cards accepted,25
Meco Bistrô,Aldeia do Meco,-,2,20 € for two people (approx.),Cash and Cards accepted,20
Os Sagrados,Malveira,3.5,9,20 € for two people (approx.),Cash only,20
Dom Churrasco,Telheiras,3.8,38,15 € for two people (approx.),Cash and Debit Cards accepted,15
A Caprichosa,Pena,3.1,4,8 € for two people (approx.),Cash only,8
Churrasqueira Pronto a comer Margarete,Quinta do Anjo,3.4,7,15 € for two people (approx.),Cash and Debit Cards accepted,15
O Mercado do Peixe,Ajuda,4.0,107,50 € for two people (approx.),Cash and Cards accepted,50
Kikusushi,Baixa,3.8,324,30 € for two people (approx.),Cash and Debit Cards accepted,30
O Tachadas,Brandoa,3.4,12,20 € for two people (approx.),Cash only,20
Scala II,Benfica,3.5,11,15 € for two people (approx.),Cash and Debit Cards accepted,15
João do Grão,Baixa,3.6,78,35 € for two people (approx.),Cash and Cards accepted,35
Rotunda da Atalaia,Atalaia,-,1,25 € for two people (approx.),Cash only,25
